source_v2_path,class,global_family_id,final_split,status,original_filename,output_filename,final_path
Train/Cataract/cat_0_6571.jpg,Cataract,GF00001,Train,INCLUDED,cat_0_6571.jpg,cat_0_6571.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6571.jpg
Train/Cataract/cat_0_6513.jpg,Cataract,GF00002,Validation,INCLUDED,cat_0_6513.jpg,cat_0_6513.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6513.jpg
Train/Cataract/cat_0_6597.jpg,Cataract,GF00003,Test,INCLUDED,cat_0_6597.jpg,cat_0_6597.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6597.jpg
Train/Cataract/cat_0_6439.jpg,Cataract,GF00004,Train,INCLUDED,cat_0_6439.jpg,cat_0_6439.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6439.jpg
Train/Cataract/cat_0_6477.jpg,Cataract,GF00005,Train,INCLUDED,cat_0_6477.jpg,cat_0_6477.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6477.jpg
Train/Cataract/cat_0_6541.jpg,Cataract,GF00006,Test,INCLUDED,cat_0_6541.jpg,cat_0_6541.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6541.jpg
Train/Cataract/cat_0_6612.jpg,Cataract,GF00007,Train,INCLUDED,cat_0_6612.jpg,cat_0_6612.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6612.jpg
Train/Cataract/cat_0_6434.jpg,Cataract,GF00008,Train,INCLUDED,cat_0_6434.jpg,cat_0_6434.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6434.jpg
Train/Cataract/cat_0_6450.jpg,Cataract,GF00009,Train,INCLUDED,cat_0_6450.jpg,cat_0_6450.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6450.jpg
Train/Cataract/cat_0_6568.jpg,Cataract,GF00010,Train,INCLUDED,cat_0_6568.jpg,cat_0_6568.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6568.jpg
Train/Cataract/cat_0_6615.jpg,Cataract,GF00011,Train,INCLUDED,cat_0_6615.jpg,cat_0_6615.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6615.jpg
Train/Cataract/cat_0_6589.jpg,Cataract,GF00012,Validation,INCLUDED,cat_0_6589.jpg,cat_0_6589.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6589.jpg
Train/Cataract/cat_0_6605.jpg,Cataract,GF00013,Train,INCLUDED,cat_0_6605.jpg,cat_0_6605.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6605.jpg
Train/Cataract/cat_0_6693.jpg,Cataract,GF00014,Train,INCLUDED,cat_0_6693.jpg,cat_0_6693.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6693.jpg
Train/Cataract/cat_0_6748.jpg,Cataract,GF00015,Train,INCLUDED,cat_0_6748.jpg,cat_0_6748.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6748.jpg
Train/Cataract/cat_0_6620.jpg,Cataract,GF00016,Validation,INCLUDED,cat_0_6620.jpg,cat_0_6620.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6620.jpg
Train/Cataract/cat_0_6638.jpg,Cataract,GF00017,Train,INCLUDED,cat_0_6638.jpg,cat_0_6638.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6638.jpg
Train/Cataract/cat_0_6739.jpg,Cataract,GF00018,Test,INCLUDED,cat_0_6739.jpg,cat_0_6739.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6739.jpg
Train/Cataract/cat_0_6663.jpg,Cataract,GF00019,Train,INCLUDED,cat_0_6663.jpg,cat_0_6663.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6663.jpg
Train/Cataract/cat_0_6752.jpg,Cataract,GF00020,Train,INCLUDED,cat_0_6752.jpg,cat_0_6752.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6752.jpg
Train/Cataract/cat_0_6689.jpg,Cataract,GF00021,Validation,INCLUDED,cat_0_6689.jpg,cat_0_6689.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6689.jpg
Train/Cataract/cat_0_6760.jpg,Cataract,GF00022,Validation,INCLUDED,cat_0_6760.jpg,cat_0_6760.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6760.jpg
Train/Cataract/cat_0_6758.jpg,Cataract,GF00023,Validation,INCLUDED,cat_0_6758.jpg,cat_0_6758.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6758.jpg
Train/Cataract/cat_0_6720.jpg,Cataract,GF00024,Train,INCLUDED,cat_0_6720.jpg,cat_0_6720.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6720.jpg
Train/Cataract/cat_0_6722.jpg,Cataract,GF00025,Validation,INCLUDED,cat_0_6722.jpg,cat_0_6722.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6722.jpg
Train/Cataract/cat_0_6685.jpg,Cataract,GF00026,Validation,INCLUDED,cat_0_6685.jpg,cat_0_6685.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6685.jpg
Train/Cataract/cat_0_6681.jpg,Cataract,GF00027,Test,INCLUDED,cat_0_6681.jpg,cat_0_6681.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6681.jpg
Train/Cataract/cat_0_6674.jpg,Cataract,GF00028,Test,INCLUDED,cat_0_6674.jpg,cat_0_6674.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6674.jpg
Train/Cataract/cat_0_6729.jpg,Cataract,GF00029,Validation,INCLUDED,cat_0_6729.jpg,cat_0_6729.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6729.jpg
Train/Cataract/cat_0_6762.jpg,Cataract,GF00030,Train,INCLUDED,cat_0_6762.jpg,cat_0_6762.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6762.jpg
Train/Cataract/cat_0_6618.jpg,Cataract,GF00031,Train,INCLUDED,cat_0_6618.jpg,cat_0_6618.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6618.jpg
Train/Cataract/cat_0_6667.jpg,Cataract,GF00032,Test,INCLUDED,cat_0_6667.jpg,cat_0_6667.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6667.jpg
Train/Cataract/cat_0_6675.jpg,Cataract,GF00033,Train,INCLUDED,cat_0_6675.jpg,cat_0_6675.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6675.jpg
Train/Cataract/cat_0_6704.jpg,Cataract,GF00034,Train,INCLUDED,cat_0_6704.jpg,cat_0_6704.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6704.jpg
Train/Cataract/cat_0_6639.jpg,Cataract,GF00035,Validation,INCLUDED,cat_0_6639.jpg,cat_0_6639.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6639.jpg
Train/Cataract/cat_0_6702.jpg,Cataract,GF00036,Train,INCLUDED,cat_0_6702.jpg,cat_0_6702.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6702.jpg
Train/Cataract/cat_0_6715.jpg,Cataract,GF00037,Test,INCLUDED,cat_0_6715.jpg,cat_0_6715.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6715.jpg
Train/Cataract/cat_0_6723.jpg,Cataract,GF00038,Train,INCLUDED,cat_0_6723.jpg,cat_0_6723.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6723.jpg
Train/Cataract/cat_0_6662.jpg,Cataract,GF00039,Train,INCLUDED,cat_0_6662.jpg,cat_0_6662.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6662.jpg
Train/Cataract/cat_0_6755.jpg,Cataract,GF00040,Train,INCLUDED,cat_0_6755.jpg,cat_0_6755.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6755.jpg
Train/Cataract/cat_0_6706.jpg,Cataract,GF00041,Train,INCLUDED,cat_0_6706.jpg,cat_0_6706.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6706.jpg
Train/Cataract/cat_0_6673.jpg,Cataract,GF00042,Train,INCLUDED,cat_0_6673.jpg,cat_0_6673.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6673.jpg
Train/Cataract/cat_0_6746.jpg,Cataract,GF00043,Train,INCLUDED,cat_0_6746.jpg,cat_0_6746.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6746.jpg
Train/Cataract/cat_0_6666.jpg,Cataract,GF00044,Test,INCLUDED,cat_0_6666.jpg,cat_0_6666.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6666.jpg
Train/Cataract/cat_0_6656.jpg,Cataract,GF00045,Train,INCLUDED,cat_0_6656.jpg,cat_0_6656.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6656.jpg
Train/Cataract/cat_0_6683.jpg,Cataract,GF00046,Validation,INCLUDED,cat_0_6683.jpg,cat_0_6683.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6683.jpg
Train/Cataract/cat_0_6726.jpg,Cataract,GF00047,Train,INCLUDED,cat_0_6726.jpg,cat_0_6726.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6726.jpg
Train/Cataract/cat_0_6658.jpg,Cataract,GF00048,Train,INCLUDED,cat_0_6658.jpg,cat_0_6658.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6658.jpg
Train/Cataract/cat_0_6745.jpg,Cataract,GF00049,Train,INCLUDED,cat_0_6745.jpg,cat_0_6745.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6745.jpg
Train/Cataract/cat_0_6705.jpg,Cataract,GF00050,Train,INCLUDED,cat_0_6705.jpg,cat_0_6705.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6705.jpg
Train/Cataract/cat_0_6709.jpg,Cataract,GF00051,Test,INCLUDED,cat_0_6709.jpg,cat_0_6709.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6709.jpg
Train/Cataract/cat_0_6712.jpg,Cataract,GF00052,Train,INCLUDED,cat_0_6712.jpg,cat_0_6712.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6712.jpg
Train/Cataract/cat_0_6655.jpg,Cataract,GF00053,Train,INCLUDED,cat_0_6655.jpg,cat_0_6655.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6655.jpg
Train/Cataract/cat_0_6623.jpg,Cataract,GF00054,Train,INCLUDED,cat_0_6623.jpg,cat_0_6623.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6623.jpg
Train/Cataract/cat_0_6651.jpg,Cataract,GF00055,Train,INCLUDED,cat_0_6651.jpg,cat_0_6651.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6651.jpg
Train/Cataract/cat_0_6679.jpg,Cataract,GF00056,Train,INCLUDED,cat_0_6679.jpg,cat_0_6679.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6679.jpg
Train/Cataract/cat_0_6687.jpg,Cataract,GF00057,Validation,INCLUDED,cat_0_6687.jpg,cat_0_6687.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6687.jpg
Train/Cataract/cat_0_6627.jpg,Cataract,GF00058,Validation,INCLUDED,cat_0_6627.jpg,cat_0_6627.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6627.jpg
Train/Cataract/cat_0_6629.jpg,Cataract,GF00059,Train,INCLUDED,cat_0_6629.jpg,cat_0_6629.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6629.jpg
Train/Cataract/cat_0_6753.jpg,Cataract,GF00060,Test,INCLUDED,cat_0_6753.jpg,cat_0_6753.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6753.jpg
Train/Cataract/cat_0_6740.jpg,Cataract,GF00061,Test,INCLUDED,cat_0_6740.jpg,cat_0_6740.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6740.jpg
Train/Cataract/cat_0_6761.jpg,Cataract,GF00062,Validation,INCLUDED,cat_0_6761.jpg,cat_0_6761.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6761.jpg
Train/Cataract/cat_0_6719.jpg,Cataract,GF00063,Validation,INCLUDED,cat_0_6719.jpg,cat_0_6719.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Validation/Cataract/cat_0_6719.jpg
Train/Cataract/cat_0_6917.jpg,Cataract,GF00064,Train,INCLUDED,cat_0_6917.jpg,cat_0_6917.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Train/Cataract/cat_0_6917.jpg
Train/Cataract/cat_0_6904.jpg,Cataract,GF00065,Test,INCLUDED,cat_0_6904.jpg,cat_0_6904.jpg,/content/drive/MyDrive/Cataract/Data_Clean_LeakageControlled_FINAL/Test/Cataract/cat_0_6904.jpg
